date;price
2015-08-07;280.1
2015-08-08;261.3
2015-08-09;265.6
2015-08-10;265.1
2015-08-11;272
2015-08-12;267.1
2015-08-13;264.5
2015-08-14;266.1
2015-08-15;262.1
2015-08-16;259.9
2015-08-17;258.5
2015-08-18;183
2015-08-19;226.2
2015-08-20;235.5
2015-08-21;232.2
2015-08-22;230.3
2015-08-23;228.5
2015-08-24;210.5
2015-08-25;222.7
2015-08-26;226.2
2015-08-27;225.8
2015-08-28;231.8
2015-08-29;230.8
2015-08-30;230
2015-08-31;231.4
2015-09-01;228.2
2015-09-02;229.7
2015-09-03;227.3
2015-09-04;230.9
2015-09-05;235.8
2015-09-06;241
2015-09-07;240.9
2015-09-08;244.2
2015-09-09;238.9
2015-09-10;239.5
2015-09-11;240.6
2015-09-12;235.8
2015-09-13;231
2015-09-14;230.9
2015-09-15;230.9
2015-09-16;229
2015-09-17;233.6
2015-09-18;233.8
2015-09-19;232.1
2015-09-20;232.1
2015-09-21;227.2
2015-09-22;231.3
2015-09-23;230.5
2015-09-24;234.6
2015-09-25;235.3
2015-09-26;234.6
2015-09-27;233.4
2015-09-28;240.4
2015-09-29;236.8
2015-09-30;236.5
2015-10-01;238.5
2015-10-02;237.9
2015-10-03;239.8
2015-10-04;239.5
2015-10-05;242
2015-10-06;247.4
2015-10-07;244.2
2015-10-08;243
2015-10-09;244.8
2015-10-10;246
2015-10-11;247.9
2015-10-12;246.1
2015-10-13;251.3
2015-10-14;253.5
2015-10-15;255.2
2015-10-16;263.5
2015-10-17;272.9
2015-10-18;265
2015-10-19;265
2015-10-20;271
2015-10-21;267.8
2015-10-22;275.8
2015-10-23;279.2
2015-10-24;284.2
2015-10-25;284.8
2015-10-26;287.2
2015-10-27;295.2
2015-10-28;304.5
2015-10-29;314.9
2015-10-30;328.2
2015-10-31;316
2015-11-01;330.7
2015-11-02;365
2015-11-03;405.3
2015-11-04;409.2
2015-11-05;388
2015-11-06;375.6
2015-11-07;384.6
2015-11-08;374
2015-11-09;381
2015-11-10;340.2
2015-11-11;314
